Symbol	Price
ATVI	58.65
ADBE	317.94
AMD	41.15
ALGN	266.06
ALXN	110.42
AMZN	1760.9399
AMGN	236.74
AAL	27.48
ADI	118.77
AAPL	275.15
AMAT	59.87
ASML	289.89
ADSK	179.41
ADP	168.26
AVGO	315.42
BIDU	119.14
BIIB	296.83
BMRN	80.17
CDNS	67.92
CERN	72.23
CHKP	113.31
CHTR	475.27
TCOM	33.78
CTAS	261.81
CSCO	45.3
CTXS	110.35
CMCSA	43.58
COST	291.87
CSX	72.78
CTSH	61.64
DLTR	93.59
EA	104.55
EBAY	35.48
EXC	43.82
EXPE	112.76
FAST	37.03
FB	194.11
FISV	116.75
GILD	65.77
GOOG	1347.83
GOOGL	1346.87
HAS	103.92
HSIC	68.49
ILMN	324.72
INCY	91.51
INTC	57.79
INTU	259.64
ISRG	579.65
IDXX	252.9
JBHT	113
JD	34
KLAC	171.24
KHC	31.6
LRCX	281.95
LBTYA	22.03
LBTYK	21.05
LULU	223.55
MELI	567.67
MAR	146.16
MCHP	102.09
MDLZ	53.24
MNST	62.21
MSFT	154.53
MU	51.2
MXIM	59.59
MYL	19.14
NTAP	63.24
NFLX	298.5
NTES	304
NVDA	223.99
NXPI	123.88
ORLY	441.35
PAYX	85.08
PCAR	82.01
BKNG	1973.6
PYPL	107.65
PEP	137.94
QCOM	87.83
REGN	376.42
ROST	115.49
SIRI	6.92
SWKS	111.86
SBUX	88.67
NLOK	26
SNPS	136.7
TTWO	121.82
TSLA	358.39
TXN	126.64
TMUS	75.47
ULTA	253.5
UAL	87.58
VRSN	191.49
VRSK	149.19
VRTX	218.98
WBA	57.88
WDC	54.3
WDAY	159.46
WYNN	129.78
XEL	62.26
XLNX	96.23
